Species,Clade,brain_weight,body_weight,diet,percent_fruit,social_system,mating_system,group_size,Locomotion,Main1,mean_Male_Galan,mean_Female_Galan,Superfamily,Family,Genus
Symphalangus_syndactylus,Hominoidea,128.8891378,9246.333333,Folivore,47,Pair,Monogamy,3.86,AR,MF,11.9,10.7,Hominoidea,Hylobatidae,Symphalangus
Tarsius_bancanus,Tarsiidae,3.249839527,104.83,Omnivore,,Solitary,Spatial Polygyny,2,NA,solitary,NA,NA,Tarsioidea,Tarsiidae,Tarsius
Tarsius_syrichta,Tarsiidae,3.479635532,107.5366667,Omnivore,0,Solitary,Spatial Polygyny,2,AR,solitary,NA,NA,Tarsioidea,Tarsiidae,Tarsius
Theropithecus_gelada,Papionini,136.2073239,14788.03667,Frugivore,26,Polygyndry,Harem Polygyny,151.3,T,MFF,19,11.7,Cercopithecoidea,Cercopithecidae,Theropithecus
Trachypithecus_cristatus,Colobinae,59.14751404,5453.936667,Folivore,19,Polygyndry,Harem Polygyny,24.75,AR,FFMM,6.72,5.78,Cercopithecoidea,Cercopithecidae,Trachypithecus
Trachypithecus_johnii,Colobinae,86.48189389,11098.36,Folivore,21,Polygyndry,Harem Polygyny,16.5,NA,FFMM,NA,NA,Cercopithecoidea,Cercopithecidae,Trachypithecus
Trachypithecus_obscurus,Colobinae,63.66254877,5775.96,Folivore,35,Polygyndry,Harem Polygyny,10.3,AR,MFF,7.77,6.22,Cercopithecoidea,Cercopithecidae,Trachypithecus
Trachypithecus_phayrei,Colobinae,76.73630109,8040.86,Folivore,,Polygyny,Harem Polygyny,8.8,AR,MFF,7.93,6.95,Cercopithecoidea,Cercopithecidae,Trachypithecus
Trachypithecus_pileatus,Colobinae,107.3719186,10153.31,Folivore,,Polygyny,Harem Polygyny,6.2,AR,MFF,12,9.86,Cercopithecoidea,Cercopithecidae,Trachypithecus
Trachypithecus_vetulus,Colobinae,63.49900193,7705.693333,Folivore,,Polygyny,Harem Polygyny,13,NA,MFF,NA,NA,Cercopithecoidea,Cercopithecidae,Trachypithecus
Varecia_variegata_variegata,Lemuriformes,32.639348,3335,Frugivore,73.9,Pair,Monogamy,5.933333333,,,,,Lemuroidea,Lemuriformes,Varecia
