Type1,VintageNew,ProductName,GradeNew,UsageInstructions
Bordeaux,,,,
2004,"Château La Mission-Haut-Brion 2004, Pessac-Léognan",A,Keep - 10/12. Keep - 3/15.,
2004,"Château Lynch Bages 2004, 5ème Cru Classé, Pauillac",B,Keep - 10/12. Keep - 3/15.,
2004,"Château Pichon-Longueville, Comtesse de Lalande 2004, 2ème Cru Classé, Pauillac",A,Keep - 10/12. Keep - 3/15.,
2004,"Château Talbot 2004, 4ème Cru Classé, Saint Julien",B,Keep - 10/12. Keep - 3/15.,
2004,"Clos Fourtet 2004 1er Grand Cru Classé, St Emilion",B,Keep - 10/12. Keep - 3/15.,
2004,"Domaine de Chevalier 2004, Grand Cru Classé, Pessac-Léognan",B,Keep - 10/12. Keep - 3/15.,
2004,"Vieux Château Certan 2004, Pomerol",A,Keep - 10/12. Keep - 3/15.,
2005,"Château Belgrave 2005, 5ème Cru Classé, Haut-Médoc",B,Keep - 10/12,
2005,"Château Brane-Cantenac 2005, 2ème Cru Classé, Cantenac-Margaux",B,Keep - 10/12,
2005,"Château Gruaud-Larose 2005, 2ème Cru Classé, St Julien",B,Keep - 10/12,
2005,"Château Lagrange 2005, Cru Classé, Pomerol",B,Keep - 10/12,
2005,"Château Léoville-Barton 2005, 2ème Cru Classé St Julien",B,Keep - 10/12,
2005,"Château Lynch Bages 2005, 5ème Cru Classé, Pauillac",B,Keep - 10/12,
2005,"Château Pichon-Longueville Baron 2005, 2ème Cru Classé, Pauillac",A,Keep - 10/12,
2005,"Château Talbot 2005, 4ème Cru Classé, St Julien",B,Keep - 10/12,
2005,"Domaine de Chevalier 2005, Cru Classé, Pessac-Léognan",B,Keep - 10/12,
2005,"Vieux Château Certan 2005, 1er Grand Cru Classé, Pomerol",A,Keep - 10/12,
2006,"Château Brane-Cantenac 2006, 2ème Cru Classé, Margaux",B,Keep - 10/12,
2006,"Château Cos d'Estournel 2006, 2ème Cru Classé, St Estèphe",B,Keep - 10/12,
2006,"Château Gazin 2006, Pomerol",B,Keep - 10/12,
2006,"Château Grand-Puy-Lacoste 2006, 5ème Cru Classé, Pauillac",B,Keep - 10/12,
2006,"Château Pichon-Longueville Baron 2006, 2ème Cru Classé, Pauillac",B,Keep - 10/12,
2006,"Château Pichon-Longueville Comtesse de Lalande 2006, 2ème Cru Classé, Pauillac",A,Keep - 10/12,
2006,"Château Rauzan-Ségla 2006, 2ème Cru Classé, Margaux",B,Keep - 10/12,
2006,"Château St Pierre 2006, 4ème Cru Classé, St Julien",B,Keep - 10/12,
2009,"Château Grand Puy Lacoste 2009, 5ème Cru Classé, Pauillac",B,,
2009,"Château Haut-Batailley 2009, 5ème Cru Classé, Pauillac",B,,
2009,"Château Lascombes 2009, 2ème Cru Classé, Margaux",B,,
2009,"Château Lynch-Moussas 2009, 5ème Cru Classé, Pauillac",B,,
2009,"Château Talbot 2009, 4ème Cru Classé, St Julien",B,,
2010,"Roc de Cambes 2010, Côtes de Bourg",B,,
Rhône,,,,
1985,"Cornas 1985, Guy de Barjac",B,Drink - 5/94 (2nd review) Drink - 5/00 (3rd review). Drink - 10/10.,
1985,"Côte-Rôtie 1985, Domaine Emile Champet",B,Drink  Drink - 5/00. Use - 6/05,
1986,"Côte-Rôtie 1986, Domaine Burgaud",B,Keep - 5/00.  Drink - 7/04,
1986,"Hermitage 1986, Domaine des Remizières, (Desmeure Père et fils)",B,Drink - 5/94 (2nd review) Drink - 5/00 (3rd review) Drink up - 10/10,
1987,"Hermitage 1987, Jean-Louis Chave",B,"Keep - 2/92 (1st review) Drink - 11/96(2nd rev.) Drink - 7/01 
Drink - 10/10.",
1988,"Côte-Rôtie 1988, Côte Brune et Blonde, P Gaillard",B,Drink,
1988,"Hermitage 1988,, Bernard Faurie",A,Drink. Use up - 6/05,
1990,"Hermitage la Chapelle, 1990, Paul Jaboulet, Aîné",A1,Keep - 11/95 (1st review) Keep - 5/00 (2nd review) Keep - 7/04 (3rd review)  Keep - 5/06 (4th review) Keep or use sparingly - 5/09,
1995,"Crozes Hermitage La Petite Ruche, Chapoutier 1995",B,Keep - 5/02. Keep - 5/06. Can be used - 5/09,
1998,"Châteauneuf du Pape, Clos des Papes 1998",B,Keep - 5/02. Drink - 5/06. Use - 5/09,
1998,"Côte Rôtie 1998, Robert & Patrick Jasmin",A,Keep - 5/02. Keep - 5/09. Use - 11/13.,
1998,"Côtes du Rhône - Villages 1998, Cuvée Nôtre Dame de Cellettes (Domaine Sainte Anne)",B,Keep and review in 2004 - 5/02. Drink - 5/06. Drink - 5/09,
1998,"Côtes du Rhône 1998, Coudoulet de Beaucastel",C,Drink - 5/02. Drink - 5/09. Use or dispose - 5/18,
1998,"Gigondas 1998, Chateau du Trignon",B,Keep and release in 2004 - 5/02. Release as needed - 5/06. Use as required - 5/09. Use up - 5/18.,
1998,"Gigondas 1998, Domaines Perrin",B,Keep - 5/02. Drink - 5/06. Keep - 5/09. Drink - 11/13. Use up - 5/18.,
2007,"Châteauneuf du Pape 2007, Domaine des Sénéchaux (Jean-Michel Cazes)",B,Keep - 1/16,
2007,"Châteauneuf-du-Pape Chante Le Merle 2007, Bosquet des Papes",B,Keep - 1/16,
2007,"Côte-Rôtie 2007, Domaine Jean-Michel Stephan",A,Keep - 1/16,
2007,Gigondas Pierre Aiguille 2007 (Paul Jaboulet Aîné),B,,
Burgundy (Red),,,,
