Row,Keep,Genus_species,Common_name,Activity_pattern,Main1,Locomotion,mean_Male_Galan,mean_Female_Galan,Superfamily,Order,Family,Genus,Notes
919,0,Trachypithecus_obscurus,Dusky/Spectacled Leaf Monkey,Diurnal,MFF,AR,7.77,6.22,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
922,0,Trachypithecus_phayrei,Phayre's leaf Monkey,Diurnal,MFF,AR,7.93,6.95,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
924,0,Trachypithecus_pileatus,Capped Langur,Diurnal,MFF,AR,12,9.86,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
926,0,Trachypithecus_poliocephalus,Cat Ba Langur,Diurnal,MFF,BOTH,8.75,7.35,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
930,0,Trachypithecus_shortridgei,Shortridge's capped Langur,Diurnal,MFF,AR,NA,NA,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
932,0,Trachypithecus_vetulus,Purple-faced Leaf Monkey,Diurnal,MFF,NA,NA,NA,Cercopithecoidea,Primates,Cercopithecidae,Trachypithecus,
936,1,Varecia_variegata,Black-and-white Ruffed Lemur,Diurnal,FFMM,AR,3.63,3.52,Lemuroidea,Primates,Lemuridae,Varecia,
937,1,Mus_musculus,,,FFMM,,0.0171,0.0143,,Rodentia,,Mus,
938,1,Oryctolagus_cuniculus,,,FFMM,,1.175,1.175,,Lagomorpha,,Oryctolagus,
939,1,Tupaia_belangeri,,,solitary,,0.2,0.2,,Scandentia,,Tupaia,
940,1,Galeopterus_variegatus,,,solitary,,1.025,1.025,,Dermoptera,,Galeopterus,
