NestID,Num,FEDate,EntDate,FoFDate,Fail,Fail Cat,Aban,NeHW,NeCB,NnHW,NnCB,NfHW,NfCB,xLong,yLat,EntAge,FoFAge,NDays,Year,Mo,FEDay,CBP,fYear,CBHatch,SurHat?
GG-36,1,5/24/13,5/27/13,6/6/13,1,Yes,1,1,1,0,0,0,0,-79.93217,41.77762,3,13,10,2013,5,24,Yes,y2013,0,0
LL-36,1,5/24/13,5/27/13,6/3/13,1,Yes,0,1,1,0,0,0,0,-79.93201,41.77576,3,10,7,2013,5,24,Yes,y2013,0,0
N-17,1,5/25/13,5/29/13,6/15/13,1,Yes,0,4,1,0,0,0,0,-79.9459,41.78487,4,21,17,2013,5,25,Yes,y2013,0,0
U-19,1,5/25/13,5/29/13,6/17/13,0,No,0,3,0,3,0,3,0,-79.9437,41.78194,4,23,19,2013,5,25,No,y2013,0,1
PP-30,1,5/25/13,5/25/13,5/26/13,1,Yes,1,0,1,0,0,0,0,-79.93528,41.77377,0,1,1,2013,5,25,Yes,y2013,0,0
FF-36,1,5/25/13,5/30/13,5/31/13,1,Yes,0,2,1,0,0,0,0,-79.93288,41.77808,5,6,1,2013,5,25,Yes,y2013,0,0
U-22,1,5/26/13,5/29/13,6/3/13,1,Yes,1,3,0,0,0,0,0,-79.94216,41.78219,3,8,5,2013,5,26,No,y2013,0,0
Z-26,1,5/26/13,5/29/13,6/10/13,1,Yes,1,1,2,0,0,0,0,-79.93964,41.77982,3,15,12,2013,5,26,Yes,y2013,0,0
GG-30,1,5/26/13,5/27/13,5/30/13,1,Yes,0,2,0,0,0,0,0,-79.93635,41.77724,1,4,3,2013,5,26,No,y2013,0,0
I-17,1,5/27/13,5/29/13,6/19/13,0,No,0,4,0,3,0,2,0,-79.94637,41.78676,2,23,21,2013,5,27,No,y2013,0,1
PP-33,1,5/27/13,5/27/13,6/9/13,1,Yes,0,3,0,0,0,0,0,-79.93346,41.77337,0,13,13,2013,5,27,No,y2013,0,0
II-33,1,5/28/13,6/15/13,6/20/13,1,Yes,0,null,0,1,0,0,0,-79.93423,41.77637,18,23,5,2013,5,28,No,y2013,0,1
S-15,1,5/30/13,6/4/13,6/23/13,0,No,0,4,0,4,0,4,0,-79.94651,41.78228,5,24,19,2013,5,30,No,y2013,0,1
BB-34,1,5/30/13,6/2/13,6/13/13,1,Yes,1,2,1,0,0,0,0,-79.93453,41.77997,3,14,11,2013,5,30,Yes,y2013,0,0
